"Name", "Team", "Position", "Height(inches)", "Weight(lbs)", "Age"
"Gavin Floyd", "CWS", "Starting Pitcher", 76, 212, 24.09
"Jose Contreras", "CWS", "Starting Pitcher", 76, 224, 35.23
"Jon Garland", "CWS", "Starting Pitcher", 78, 210, 27.43
"Javier Vazquez", "CWS", "Starting Pitcher", 74, 205, 30.6
"Mark Buehrle", "CWS", "Starting Pitcher", 74, 220, 27.94
"Mike MacDougal", "CWS", "Relief Pitcher", 76, 195, 29.99
"David Aardsma", "CWS", "Relief Pitcher", 77, 200, 25.17
"Andrew Sisco", "CWS", "Relief Pitcher", 81, 260, 24.13
"Matt Thornton", "CWS", "Relief Pitcher", 78, 228, 30.46
"Bobby Jenks", "CWS", "Relief Pitcher", 75, 270, 25.96
"Boone Logan", "CWS", "Relief Pitcher", 77, 200, 22.55
"Sean Tracey", "CWS", "Relief Pitcher", 75, 210, 26.29
"Nick Masset", "CWS", "Relief Pitcher", 76, 190, 24.79
"Jose Molina", "ANA", "Catcher", 74, 220, 31.74
"Jeff Mathis", "ANA", "Catcher", 72, 180, 23.92
"Mike Napoli", "ANA", "Catcher", 72, 205, 25.33
"Casey Kotchman", "ANA", "First Baseman", 75, 210, 24.02
"Kendry Morales", "ANA", "First Baseman", 73, 220, 23.7
"Shea Hillenbrand", "ANA", "First Baseman", 73, 211, 31.59
"Robb Quinlan", "ANA", "First Baseman", 73, 200, 29.95
"Howie Kendrick", "ANA", "First Baseman", 70, 180, 23.64
"Orlando Cabrera", "ANA", "Shortstop", 70, 190, 32.33
"Erick Aybar", "ANA", "Shortstop", 70, 170, 23.13
"Dallas McPherson", "ANA", "Third Baseman", 76, 230, 26.6
"Maicer Izturis", "ANA", "Third Baseman", 68, 155, 26.46
"Reggie Willits", "ANA", "Outfielder", 71, 185, 25.75
"Tommy Murphy", "ANA", "Outfielder", 72, 185, 27.51
"Terry Evans", "ANA", "Outfielder", 75, 200, 25.11
"Gary Matthews Jr.", "ANA", "Outfielder", 75, 225, 32.51
"Garret Anderson", "ANA", "Outfielder", 75, 225, 34.67
"Vladimir Guerrero", "ANA", "Outfielder", 75, 220, 31.06
"Chone Figgins", "ANA", "Outfielder", 68, 160, 29.1
"Juan Rivera", "ANA", "Outfielder", 74, 205, 28.66
"John Lackey", "ANA", "Starting Pitcher", 78, 235, 28.35
"Bartolo Colon", "ANA", "Starting Pitcher", 71, 250, 33.77
"Kelvim Escobar", "ANA", "Starting Pitcher", 73, 210, 30.89
"Dustin Moseley", "ANA", "Starting Pitcher", 76, 190, 37.74
"Ervin Santana", "ANA", "Starting Pitcher", 74, 160, 24.14
"Joe Saunders", "ANA", "Starting Pitcher", 74, 200, 25.71
"Jered Weaver", "ANA", "Starting Pitcher", 79, 205, 24.41
"Chris Resop", "ANA", "Relief Pitcher", 75, 222, 24.32
"Phil Seibel", "ANA", "Relief Pitcher", 73, 195, 28.09
"Justin Speier", "ANA", "Relief Pitcher", 76, 205, 33.31
"Darren Oliver", "ANA", "Relief Pitcher", 74, 220, 36.4
"Hector Carrasco", "ANA", "Relief Pitcher", 74, 220, 37.36
"Scot Shields", "ANA", "Relief Pitcher", 73, 170, 31.61
"Francisco Rodriguez", "ANA", "Relief Pitcher", 72, 185, 25.14
"Greg Jones", "ANA", "Relief Pitcher", 74, 195, 30.29
"Doug Mirabelli", "BOS", "Catcher", 73, 220, 36.37
"Jason Varitek", "BOS", "Catcher", 74, 230, 34.89
"George Kottaras", "BOS", "Catcher", 72, 180, 23.79
"Kevin Youkilis", "BOS", "First Baseman", 73, 220, 27.96
"Dustin Pedroia", "BOS", "Second Baseman", 69, 180, 23.54
"Alex Cora", "BOS", "Shortstop", 72, 180, 31.37
"Julio Lugo", "BOS", "Shortstop", 73, 170, 31.29
"Mike Lowell", "BOS", "Third Baseman", 75, 210, 33.01
"Wily Mo Pe?a", "BOS", "Outfielder", 75, 215, 25.1
"J.D. Drew", "BOS", "Outfielder", 73, 200, 31.28
"Manny Ramirez", "BOS", "Outfielder", 72, 213, 34.75
"Brandon Moss", "BOS", "Outfielder", 72, 180, 23.46
"David Murphy", "BOS", "Outfielder", 76, 192, 25.37
"Eric Hinske", "BOS", "Outfielder", 74, 235, 29.57
"Coco Crisp", "BOS", "Outfielder", 72, 185, 27.33
"David Ortiz", "BOS", "Designated Hitter", 76, 230, 31.28
"Curt Schilling", "BOS", "Starting Pitcher", 77, 235, 40.29
"Tim Wakefield", "BOS", "Starting Pitcher", 74, 210, 40.58
"Josh Beckett", "BOS", "Starting Pitcher", 77, 222, 26.79
"Matt Clement", "BOS", "Starting Pitcher", 75, 210, 32.55
"Jonathan Papelbon", "BOS", "Starting Pitcher", 76, 230, 26.27
"Kyle Snyder", "BOS", "Starting Pitcher", 80, 220, 29.47
"Devern Hansack", "BOS", "Starting Pitcher", 74, 180, 29.07
"Jon Lester", "BOS", "Starting Pitcher", 74, 190, 23.15
"Kason Gabbard", "BOS", "Starting Pitcher", 75, 200, 24.9
"Craig Hansen", "BOS", "Relief Pitcher", 78, 210, 23.29
"Hideki Okajima", "BOS", "Relief Pitcher", 73, 194, 31.18
"Craig Breslow", "BOS", "Relief Pitcher", 73, 180, 26.56
"Manny Delcarmen", "BOS", "Relief Pitcher", 74, 190, 25.03
"Brendan Donnelly", "BOS", "Relief Pitcher", 75, 240, 35.66
"Javier Lopez", "BOS", "Relief Pitcher", 76, 200, 29.64
"J.C. Romero", "BOS", "Relief Pitcher", 71, 198, 30.74
"Joel Pineiro", "BOS", "Relief Pitcher", 73, 200, 28.43
"Julian Tavarez", "BOS", "Relief Pitcher", 74, 195, 33.77
"Mike Timlin", "BOS", "Relief Pitcher", 76, 210, 40.97
"Nick DeBarr", "BOS", "Relief Pitcher", 76, 220, 23.52
"Victor Martinez", "CLE", "Catcher", 74, 190, 28.19
"Kelly Shoppach", "CLE", "Catcher", 73, 210, 26.84
"Ryan Garko", "CLE", "First Baseman", 74, 225, 26.16
"Joe Inglett", "CLE", "Second Baseman", 70, 180, 28.67
"Josh Barfield", "CLE", "Second Baseman", 72, 185, 24.2
"Hector Luna", "CLE", "Second Baseman", 73, 170, 27.08
"Jhonny Peralta", "CLE", "Shortstop", 73, 185, 24.76
"Andy Marte", "CLE", "Third Baseman", 73, 185, 23.36
"Ben Francisco", "CLE", "Outfielder", 73, 180, 25.35
"Shin-Soo Choo", "CLE", "Outfielder", 71, 178, 24.63
"Franklin Gutierrez", "CLE", "Outfielder", 74, 175, 24.02
"Grady Sizemore", "CLE", "Outfielder", 74, 200, 24.58
"Jason Michaels", "CLE", "Outfielder", 72, 204, 30.82
"Trot Nixon", "CLE", "Outfielder", 74, 211, 32.89
"David Dellucci", "CLE", "Outfielder", 71, 190, 33.33
"Casey Blake", "CLE", "Outfielder", 74, 210, 33.52
"Travis Hafner", "CLE", "Designated Hitter", 75, 240, 29.74
"Paul Byrd", "CLE", "Starting Pitcher", 73, 190, 36.24
"Cliff Lee", "CLE", "Starting Pitcher", 75, 190, 28.5
"Jake Westbrook", "CLE", "Starting Pitcher", 75, 185, 29.42
"C.C. Sabathia", "CLE", "Starting Pitcher", 79, 290, 26.61
"Jeremy Sowers", "CLE", "Starting Pitcher", 73, 175, 23.79
"Rafael Perez", "CLE", "Relief Pitcher", 75, 185, 24.96
"Brian Slocum", "CLE", "Relief Pitcher", 76, 200, 25.93
"Edward Mujica", "CLE", "Relief Pitcher", 74, 220, 22.81
"Fernando Cabrera", "CLE", "Relief Pitcher", 76, 170, 25.29
"Tom Mastny", "CLE", "Relief Pitcher", 78, 220, 26.07
"Juan Lara", "CLE", "Relief Pitcher", 74, 190, 26.09
"Fausto Carmona", "CLE", "Relief Pitcher", 76, 220, 23.23
"Aaron Fultz", "CLE", "Relief Pitcher", 72, 205, 33.49
"Rafael Betancourt", "CLE", "Relief Pitcher", 74, 200, 31.84
"Roberto Hernandez", "CLE", "Relief Pitcher", 76, 250, 42.3
"Joe Borowski", "CLE", "Relief Pitcher", 74, 225, 35.82
"Matt Miller", "CLE", "Relief Pitcher", 75, 215, 35.27
"Jason Davis", "CLE", "Relief Pitcher", 78, 210, 26.81
"Mike Piazza", "OAK", "Catcher", 75, 215, 38.49
"Jason Kendall", "OAK", "Catcher", 72, 195, 32.68
"Adam Melhuse", "OAK", "Catcher", 74, 200, 34.93
"Nick Swisher", "OAK", "First Baseman", 72, 194, 26.26
"Dan Johnson", "OAK", "First Baseman", 74, 220, 27.56
"Donald Murphy", "OAK", "Second Baseman", 70, 180, 23.98
"Mark Ellis", "OAK", "Second Baseman", 71, 180, 29.73
"Marco Scutaro", "OAK", "Shortstop", 70, 170, 31.33
"Bobby Crosby", "OAK", "Shortstop", 75, 195, 27.13
"Mark Kiger", "OAK", "Shortstop", 71, 180, 26.75
"Antonio Perez", "OAK", "Third Baseman", 71, 170, 27.09
"Eric Chavez", "OAK", "Third Baseman", 73, 206, 29.23
"Milton Bradley", "OAK", "Outfielder", 72, 205, 28.88
"Shannon Stewart", "OAK", "Outfielder", 71, 200, 33.01
"Bobby Kielty", "OAK", "Outfielder", 73, 225, 30.57
"Mark Kotsay", "OAK", "Outfielder", 72, 201, 31.24
"Ryan Goleski", "OAK", "Outfielder", 75, 225, 24.95
"Jeremy Brown", "OAK", "Designated Hitter", 70, 226, 27.35
"Jason Windsor", "OAK", "Starting Pitcher", 74, 233, 24.62
"David Shafer", "OAK", "Starting Pitcher", 74, 180, 24.98
"Joe Blanton", "OAK", "Starting Pitcher", 75, 225, 26.22
"Brad Halsey", "OAK", "Starting Pitcher", 73, 180, 26.04
"Dan Haren", "OAK", "Starting Pitcher", 77, 220, 26.45
"Rich Harden", "OAK", "Starting Pitcher", 73, 180, 25.25
"Joe Kennedy", "OAK", "Starting Pitcher", 76, 237, 27.77
"Esteban Loaiza", "OAK", "Starting Pitcher", 75, 215, 35.16
"Alan Embree", "OAK", "Relief Pitcher", 74, 190, 37.1
"Jay Witasick", "OAK", "Relief Pitcher", 76, 235, 34.51
"Justin Duchscherer", "OAK", "Relief Pitcher", 75, 190, 29.28
"Kiko Calero", "OAK", "Relief Pitcher", 73, 180, 32.14
"Chad Gaudin", "OAK", "Relief Pitcher", 71, 165, 23.94
"Lenny DiNardo", "OAK", "Relief Pitcher", 76, 195, 27.45
"Scott Dunn", "OAK", "Relief Pitcher", 75, 200, 28.77
"Huston Street", "OAK", "Relief Pitcher", 72, 190, 23.58
"Ron Flores", "OAK", "Relief Pitcher", 71, 190, 27.56
"Jay Marshall", "OAK", "Relief Pitcher", 77, 185, 24.01
"Marcus McBeth", "OAK", "Relief Pitcher", 73, 185, 26.52
"Jorge Posada", "NYY", "Catcher", 74, 205, 35.54
"Wil Nieves", "NYY", "Catcher", 71, 190, 29.43
"Andy Phillips", "NYY", "First Baseman", 72, 205, 29.9
"Doug Mientkiewicz", "NYY", "First Baseman", 74, 206, 32.7
"Josh Phelps", "NYY", "First Baseman", 75, 220, 28.8
"Miguel Cairo", "NYY", "Second Baseman", 73, 208, 32.82
"Robinson Cano", "NYY", "Second Baseman", 72, 170, 24.36
"Derek Jeter", "NYY", "Shortstop", 75, 195, 32.68
"Alex Rodriguez", "NYY", "Third Baseman", 75, 210, 31.59
"Johnny Damon", "NYY", "Outfielder", 74, 190, 33.32
"Bobby Abreu", "NYY", "Outfielder", 72, 211, 32.97
"Hideki Matsui", "NYY", "Outfielder", 74, 230, 32.72
"Melky Cabrera", "NYY", "Outfielder", 71, 170, 22.55
"Kevin Thompson", "NYY", "Outfielder", 70, 185, 27.45
"Jason Giambi", "NYY", "Designated Hitter", 75, 230, 36.14
"Mike Mussina", "NYY", "Starting Pitcher", 74, 185, 38.23
"Carl Pavano", "NYY", "Starting Pitcher", 77, 241, 31.14
"Andy Pettitte", "NYY", "Starting Pitcher", 77, 225, 34.71
"Darrell Rasner", "NYY", "Starting Pitcher", 75, 210, 26.13
"Jeff Karstens", "NYY", "Starting Pitcher", 75, 175, 24.43
"Humberto Sanchez", "NYY", "Starting Pitcher", 78, 230, 23.76
"Chien-Ming Wang", "NYY", "Starting Pitcher", 75, 200, 26.92
"Sean Henn", "NYY", "Relief Pitcher", 76, 215, 25.85
"Scott Proctor", "NYY", "Relief Pitcher", 73, 198, 30.16
"Brian Bruney", "NYY", "Relief Pitcher", 75, 226, 25.03
"Chris Britton", "NYY", "Relief Pitcher", 75, 278, 24.21
"T.J. Beam", "NYY", "Relief Pitcher", 79, 215, 26.51
"Jose Veras", "NYY", "Relief Pitcher", 77, 230, 26.36
"Kyle Farnsworth", "NYY", "Relief Pitcher", 76, 240, 30.88
"Luis Vizcaino", "NYY", "Relief Pitcher", 71, 184, 32.57
"Mike Myers", "NYY", "Relief Pitcher", 75, 219, 37.68
"Mariano Rivera", "NYY", "Relief Pitcher", 74, 170, 37.25
"Ivan Rodriguez", "DET", "Catcher", 69, 218, 35.25
"Vance Wilson", "DET", "Catcher", 71, 190, 33.95
"Sean Casey", "DET", "First Baseman", 76, 225, 32.66
"Chris Shelton", "DET", "First Baseman", 72, 220, 26.68
"Omar Infante", "DET", "Second Baseman", 72, 176, 25.18
"Placido Polanco", "DET", "Second Baseman", 70, 190, 31.39
"Neifi Perez", "DET", "Second Baseman", 72, 197, 33.74
"Carlos Guillen", "DET", "Shortstop", 73, 204, 31.42
"Ramon Santiago", "DET", "Shortstop", 71, 167, 27.5
"Tony Giarratano", "DET", "Shortstop", 72, 180, 24.25
"Brandon Inge", "DET", "Third Baseman", 71, 195, 29.78
"Craig Monroe", "DET", "Outfielder", 73, 220, 30
"Magglio Ordo?ez", "DET", "Outfielder", 72, 215, 33.09
"Curtis Granderson", "DET", "Outfielder", 73, 185, 25.96
"Brent Clevlen", "DET", "Outfielder", 74, 190, 23.34
"Marcus Thames", "DET", "Outfielder", 74, 205, 29.98
"Gary Sheffield", "DET", "Outfielder", 72, 205, 38.28
"Mike Rabelo", "DET", "Designated Hitter", 73, 200, 27.12
"Zach Miner", "DET", "Starting Pitcher", 75, 200, 24.97
"Jeremy Bonderman", "DET", "Starting Pitcher", 74, 210, 24.34
"Nate Robertson", "DET", "Starting Pitcher", 74, 215, 29.49
"Justin Verlander", "DET", "Starting Pitcher", 77, 200, 24.02
"Virgil Vasquez", "DET", "Starting Pitcher", 75, 205, 24.73
"Kenny Rogers", "DET", "Starting Pitcher", 73, 211, 42.3
"Mike Maroth", "DET", "Starting Pitcher", 72, 190, 29.54
"Fernando Rodney", "DET", "Relief Pitcher", 71, 208, 29.95
"Chad Durbin", "DET", "Relief Pitcher", 74, 200, 29.24
"Jason Grilli", "DET", "Relief Pitcher", 77, 210, 30.3
"Jose Mesa", "DET", "Relief Pitcher", 75, 232, 40.77
"Todd Jones", "DET", "Relief Pitcher", 75, 230, 38.85
"Joel Zumaya", "DET", "Relief Pitcher", 75, 210, 22.31
"Jordan Tata", "DET", "Relief Pitcher", 78, 220, 25.44
"Andrew Miller", "DET", "Relief Pitcher", 78, 210, 21.78
"Yorman Bazardo", "DET", "Relief Pitcher", 74, 202, 22.64
"Wilfredo Ledezma", "DET", "Relief Pitcher", 76, 212, 26.11
"Roman Colon", "DET", "Relief Pitcher", 78, 225, 27.55
"Edward Campusano", "DET", "Relief Pitcher", 76, 170, 24.63
"Rene Rivera", "SEA", "Catcher", 70, 190, 23.58
"Kenji Johjima", "SEA", "Catcher", 72, 200, 30.73
"Richie Sexson", "SEA", "First Baseman", 80, 237, 32.17
"Ben Broussard", "SEA", "First Baseman", 74, 220, 30.43
"Jose Lopez", "SEA", "Second Baseman", 74, 170, 23.27
"Jose Vidro", "SEA", "Second Baseman", 71, 193, 32.51
"Yuniesky Betancourt", "SEA", "Shortstop", 70, 190, 25.08
"Oswaldo Navarro", "SEA", "Shortstop", 72, 150, 22.41
"Adrian Beltre", "SEA", "Third Baseman", 71, 220, 27.9
"Raul Ibanez", "SEA", "Outfielder", 74, 200, 34.74
"Jose Guillen", "SEA", "Outfielder", 71, 190, 30.79
"Jeremy Reed", "SEA", "Outfielder", 72, 185, 25.71
"Willie Bloomquist", "SEA", "Outfielder", 71, 185, 29.26
"Adam Jones", "SEA", "Outfielder", 74, 200, 21.58
"Ichiro Suzuki", "SEA", "Outfielder", 69, 172, 33.36
"Mike Morse", "SEA", "Outfielder", 76, 220, 24.94
"Felix Hernandez", "SEA", "Starting Pitcher", 75, 225, 20.9
"Ryan Feierabend", "SEA", "Starting Pitcher", 75, 190, 21.52
"Sean White", "SEA", "Starting Pitcher", 76, 195, 25.85
"Horacio Ramirez", "SEA", "Starting Pitcher", 73, 219, 27.27
"Cha Baek", "SEA", "Starting Pitcher", 76, 190, 26.75
"Miguel Batista", "SEA", "Starting Pitcher", 73, 197, 36.03
"Jeff Weaver", "SEA", "Starting Pitcher", 77, 200, 30.52
"Jarrod Washburn", "SEA", "Starting Pitcher", 73, 195, 32.55
"George Sherrill", "SEA", "Relief Pitcher", 72, 210, 29.86
"Julio Mateo", "SEA", "Relief Pitcher", 72, 177, 29.58
"J.J. Putz", "SEA", "Relief Pitcher", 77, 220, 30.02
"Chris Reitsma", "SEA", "Relief Pitcher", 77, 235, 29.16
"Cesar Jimenez", "SEA", "Relief Pitcher", 71, 180, 22.3
"Eric O'Flaherty", "SEA", "Relief Pitcher", 74, 195, 22.06
"Jon Huber", "SEA", "Relief Pitcher", 74, 195, 25.65
"Jake Woods", "SEA", "Relief Pitcher", 73, 190, 25.49
"Sean Green", "SEA", "Relief Pitcher", 78, 230, 27.86
"Mark Lowe", "SEA", "Relief Pitcher", 75, 190, 23.73
"Josh Paul", "TB", "Catcher", 73, 200, 31.78
"Dioner Navarro", "TB", "Catcher", 70, 190, 23.06
"Shawn Riggans", "TB", "Catcher", 74, 190, 26.6
"Ty Wigginton", "TB", "First Baseman", 72, 200, 29.39
"Brendan Harris", "TB", "Second Baseman", 73, 200, 26.51
"Jorge Cantu", "TB", "Second Baseman", 73, 184, 25.08
"Ben Zobrist", "TB", "Shortstop", 75, 200, 25.76
"B.J. Upton", "TB", "Third Baseman", 75, 180, 22.52
"Carl Crawford", "TB", "Outfielder", 74, 219, 25.57
"Rocco Baldelli", "TB", "Outfielder", 76, 187, 25.43
"Greg Norton", "TB", "Outfielder", 73, 200, 34.65
"Elijah Dukes", "TB", "Outfielder", 74, 220, 22.68
"Delmon Young", "TB", "Outfielder", 75, 205, 21.46
"Jonny Gomes", "TB", "Designated Hitter", 73, 205, 26.27
"Edwin Jackson", "TB", "Starting Pitcher", 75, 190, 23.47
"Scott Kazmir", "TB", "Starting Pitcher", 72, 170, 23.1
"Casey Fossum", "TB", "Starting Pitcher", 73, 160, 29.14
"Jae Seo", "TB", "Starting Pitcher", 73, 215, 29.77
"J.P. Howell", "TB", "Starting Pitcher", 72, 175, 23.85
"Tim Corcoran", "TB", "Starting Pitcher", 74, 205, 28.88
"Jason Hammel", "TB", "Starting Pitcher", 78, 200, 24.49
"James Shields", "TB", "Starting Pitcher", 76, 214, 25.19
"Brian Stokes", "TB", "Starting Pitcher", 73, 200, 27.48
"Juan Salas", "TB", "Relief Pitcher", 74, 190, 28.31
"Jeff Ridgway", "TB", "Relief Pitcher", 75, 180, 26.54
"Ruddy Lugo", "TB", "Relief Pitcher", 70, 205, 26.77
"Jae-Kuk Ryu", "TB", "Relief Pitcher", 75, 220, 23.75
"Chad Orvella", "TB", "Relief Pitcher", 71, 190, 26.41
"Dan Miceli", "TB", "Relief Pitcher", 72, 215, 36.47
"Seth McClung", "TB", "Relief Pitcher", 78, 235, 26.06
"Jon Switzer", "TB", "Relief Pitcher", 75, 191, 27.55
"Shawn Camp", "TB", "Relief Pitcher", 73, 200, 31.28
"Scott Dohmann", "TB", "Relief Pitcher", 73, 181, 29.04
"Jason LaRue", "KC", "Catcher", 71, 200, 32.95
"John Buck", "KC", "Catcher", 75, 210, 26.65
"Ryan Shealy", "KC", "First Baseman", 77, 240, 27.5
"Ross Gload", "KC", "First Baseman", 72, 185, 30.9
"Esteban German", "KC", "Second Baseman", 69, 165, 29.09
"Mark Grudzielanek", "KC", "Second Baseman", 73, 190, 36.67
"Angel Sanchez", "KC", "Second Baseman", 74, 185, 23.44
"Angel Berroa", "KC", "Shortstop", 72, 175, 29.09
"Andres Blanco", "KC", "Shortstop", 70, 155, 22.89
"Mark Teahen", "KC", "Third Baseman", 75, 210, 25.48
"Joey Gathright", "KC", "Outfielder", 70, 170, 25.84
"David DeJesus", "KC", "Outfielder", 72, 175, 27.2
"Shane Costa", "KC", "Outfielder", 72, 220, 25.22
"Mitch Maier", "KC", "Outfielder", 74, 210, 24.67
"Reggie Sanders", "KC", "Outfielder", 73, 205, 39.25
"Emil Brown", "KC", "Outfielder", 74, 200, 32.17
"Mike Sweeney", "KC", "Designated Hitter", 75, 225, 33.61
"John Bale", "KC", "Starting Pitcher", 76, 205, 32.77
"Luke Hudson", "KC", "Starting Pitcher", 75, 195, 29.83
"Scott Elarton", "KC", "Starting Pitcher", 80, 240, 31.02
"Odalis Perez", "KC", "Starting Pitcher", 72, 150, 29.73
"Gil Meche", "KC", "Starting Pitcher", 75, 200, 28.48
"Neal Musser", "KC", "Starting Pitcher", 73, 215, 26.51
"Brian Bannister", "KC", "Starting Pitcher", 74, 202, 26
"Zack Greinke", "KC", "Starting Pitcher", 74, 200, 23.36
"Jorge De La Rosa", "KC", "Starting Pitcher", 73, 190, 25.9
"Todd Wellemeyer", "KC", "Relief Pitcher", 75, 205, 28.5
"Jimmy Gobble", "KC", "Relief Pitcher", 75, 190, 25.62
"Joel Peralta", "KC", "Relief Pitcher", 71, 160, 30.94
"Ryan Braun", "KC", "Relief Pitcher", 73, 215, 26.59
"Joakim Soria", "KC", "Relief Pitcher", 75, 185, 22.78
"Ken Ray", "KC", "Relief Pitcher", 74, 200, 32.26
"David Riske", "KC", "Relief Pitcher", 74, 190, 30.35
"Octavio Dotel", "KC", "Relief Pitcher", 72, 210, 33.26
"Joe Nelson", "KC", "Relief Pitcher", 74, 185, 32.35
"Gerald Laird", "TEX", "Catcher", 74, 220, 27.3
"Miguel Ojeda", "TEX", "Catcher", 74, 190, 32.08
"Guillermo Quiroz", "TEX", "Catcher", 73, 202, 25.25
"Chris Stewart", "TEX", "Catcher", 76, 205, 25.03
"Mark Teixeira", "TEX", "First Baseman", 75, 220, 26.89
"Ian Kinsler", "TEX", "Second Baseman", 72, 175, 24.69
"Joaquin Arias", "TEX", "Shortstop", 73, 160, 22.44
"Michael Young", "TEX", "Shortstop", 73, 190, 30.36
"Hank Blalock", "TEX", "Third Baseman", 73, 200, 26.27
"Marlon Byrd", "TEX", "Outfielder", 72, 229, 29.5
"Brad Wilkerson", "TEX", "Outfielder", 72, 206, 29.75
"Sammy Sosa", "TEX", "Outfielder", 72, 220, 38.3
"Kenny Lofton", "TEX", "Outfielder", 72, 180, 39.75
"Frank Catalanotto", "TEX", "Outfielder", 71, 195, 32.84
"Nelson Cruz", "TEX", "Outfielder", 75, 175, 26.66
"Jason Botts", "TEX", "Designated Hitter", 77, 250, 26.6
"Robinson Tejeda", "TEX", "Starting Pitcher", 75, 188, 24.94
"John Rheinecker", "TEX", "Starting Pitcher", 74, 230, 27.76
"Edinson Volquez", "TEX", "Starting Pitcher", 73, 190, 23.66
"A.J. Murray", "TEX", "Starting Pitcher", 75, 200, 24.96
"Brandon McCarthy", "TEX", "Starting Pitcher", 79, 190, 23.65
"Vicente Padilla", "TEX", "Starting Pitcher", 74, 219, 29.42
"Kevin Millwood", "TEX", "Starting Pitcher", 76, 235, 32.18
"John Koronka", "TEX", "Starting Pitcher", 73, 180, 26.66
"Frank Francisco", "TEX", "Relief Pitcher", 74, 180, 27.47
"Francisco Cruceta", "TEX", "Relief Pitcher", 74, 180, 25.66
"Akinori Otsuka", "TEX", "Relief Pitcher", 72, 200, 35.13
"Eric Gagne", "TEX", "Relief Pitcher", 74, 234, 31.15
"Ron Mahay", "TEX", "Relief Pitcher", 74, 185, 35.67
"Joaquin Benoit", "TEX", "Relief Pitcher", 75, 220, 29.6
